ligand,affinity,ligand,
1572,-8,individual_ligand_1572,Aromadendrin 7-rhamnoside
160,-8,individual_ligand_160,2'-Hydroxygenistein
1622,-8,individual_ligand_1622,Auranetin
1633,-8,individual_ligand_1633,"Baicalein 5,6-dimethyl ether"
1640,-8,individual_ligand_1640,Bannamurpanisin
1660,-8,individual_ligand_1660,Benthamitin
1671,-8,individual_ligand_1671,Biochanin A 7-O-gentiobioside
1679,-8,individual_ligand_1679,Boeravinone B
1683,-8,individual_ligand_1683,"Bolusanthin IV, Centrolobofuran, 6,6'-Dihydroxy-4'-methoxy-2-arylbenzofuran, 2-(2-Hydroxy-4-methoxyphenyl)-6-benzofuranol"
1684,-8,individual_ligand_1684,Bonanniol A
1718,-8,individual_ligand_1718,Burttinone
1747,-8,individual_ligand_1747,calycopterin
1773,-8,individual_ligand_1773,"Carajuron, Carajurone"
1822,-8,individual_ligand_1822,Chalconaringenin 2'-rhamnosyl- (1->4) -xyloside
1839,-8,individual_ligand_1839,"Chrysin 7- (4""-acetylglucoside)"
1862,-8,individual_ligand_1862,Chrysosplenoside C
1869,-8,individual_ligand_1869,"Cirantin, Hesperidin, Hesperidoside, Hesperetin 7-rutinoside, Hesperetin 7-rhamnoglucoside"
1873,-8,individual_ligand_1873,cis-Tephrostachin
1016,-7.9,individual_ligand_1016,"6-Hydroxyluteolin 6,3'-dimethyl eter 5-rhamnoside"
1027,-7.9,individual_ligand_1027,"6-Hydroxymyricetin 6,3',5'-trimethyl ether 3-glucoside"
1045,-7.9,individual_ligand_1045,"6-Methoxykaempferol 3,7-bis (3-acetylrhamnoside)"
1077,-7.9,individual_ligand_1077,"6,7,3',4'-Tetramethoxyisoflavone"
107,-7.9,individual_ligand_107,"2-O-Rhamnosylvitexin, Vitexin 2-O-rhamnoside"
1094,-7.9,individual_ligand_1094,"6,8-Diprenylgenistein, 8-gamma,gamma-Dimethylallylwighteone, 5,7,4'-Trihydroxy-6,8-diprenylisoflavone, 8- (gamma,gamma-Dimethylallyl) wighteone, 6,8-Diisoprenyl-5,7,4'-trihydroxy isoflavone"
1109,-7.9,individual_ligand_1109,"6""'- (3-Hydroxy-3-methylglutaroyl) isoviolanthin"
1126,-7.9,individual_ligand_1126,"7-Hydroxy-3',4'-dimethoxyflavone"
1132,-7.9,individual_ligand_1132,"7-Hydroxy-5,4'-dimethoxyflavan"
1188,-7.9,individual_ligand_1188,"7,3'-Dihydroxy-4'-methoxy-8-methylflavan"
1189,-7.9,individual_ligand_1189,"7,3'-Dihydroxy-4'-methoxyflavan"
1219,-7.9,individual_ligand_1219,"7,8-Dimethoxy Flavone"
1235,-7.9,individual_ligand_1235,"8-C-Glucopyranosylgenistein 6""-O-apioside"
1245,-7.9,individual_ligand_1245,"8-C-Methylquercetagetin 3,6,7,4'-tetramethyl ether"
1246,-7.9,individual_ligand_1246,"8-C-Methylvellokaempferol 3,5-dimethyl ether"
124,-7.9,individual_ligand_124,"2,4,4'-Trihydroxydihydrochalcone"
126,-7.9,individual_ligand_126,"2,4'-Dihydroxy-4,6-dimethoxydihydrochalcone"
1288,-7.9,individual_ligand_1288,8-Methoxypinocembrin 7-O-prenyl ether
1293,-7.9,individual_ligand_1293,8-Prenylafzelechin 5-methyl ether
1307,-7.9,individual_ligand_1307,"8,3',4'-Trimethoxy-6,7-methylenedioxyisoflavone"
1320,-7.9,individual_ligand_1320,Abyssinoflavanone IV
